artist_name,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list,subjectivity,polarity
,2t1B2QbWbLvBQ0fe8Eqvml,,0.678,0.971,8,-2.915,1,0.159,0.133,2.21e-06,0.0766,0.616,87.498,0,[],0,['[]'],low,Neutral
Goreti Venkanna,1GVEBApUzirxRZBr2s13Ap,Oho Jambiya,0.539,0.932,8,-5.199,1,0.301,0.254,0.0,0.0736,0.601,150.001,24,['telugu folk'],40,"[""['telugu"", ""folk']""]",low,Neutral
Srinivas,0hwlEWBrraTWI9PTNzG0RJ,Cheliya,0.628,0.88,4,-4.786,0,0.088,0.00785,0.0367,0.0461,0.78,100.918,62,"['filmi', 'mollywood', 'tamil pop', 'tollywood']",59,"[""['filmi',"", ""'mollywood',"", ""'tamil"", ""pop',"", ""'tollywood']""]",low,Neutral
Javed Ali,1C9SYGI40nNYh98gN87Fwr,Nee Kannu Neeli Samudram - Telugu,0.809,0.665,5,-5.495,1,0.036,0.469,1.08e-05,0.153,0.959,140.96,71,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",54,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood',"", ""'sufi']""]",low,Neutral
"Naresh Iyer, Manisha Eerabathini",1SbK7OHdqsTUfzPVKylwND,Arere Yekkada,0.789,0.789,0,-5.631,1,0.0463,0.535,0.00872,0.302,0.889,102.055,40,['classic tollywood'],57,"[""['classic"", ""tollywood']""]",low,Neutral
Dhanunjay Seepana,5hP0A7WPiKHmuDizE2Vvcc,Whattey Beauty - Telugu,0.908,0.895,2,-3.161,1,0.0826,0.317,5.15e-05,0.142,0.794,120.776,58,['tollywood'],47,"[""['tollywood']""]",low,Neutral
Sid Sriram,6LFJ5QC9Pa9RAnEzBymFTZ,Maguva Maguva - Telugu,0.467,0.561,7,-7.734,0,0.0315,0.81,0.0116,0.114,0.573,179.938,78,['filmi'],49,"[""['filmi']""]",low,Neutral
Anup Rubens,7Cs9LEY4QEYmJfmeq5ZuA5,"Krishnaveni - From ""Orey Bujjiga""",0.821,0.66,10,-12.89,0,0.286,0.466,0.0,0.0907,0.547,80.002,50,['tollywood'],0,"[""['tollywood']""]",low,Neutral
"Amit Trivedi, Shashaa Tirupati, Yazin Nizar",57xczqwxDF0HZsuPyVEJXa,Manasu Maree,0.695,0.501,11,-6.552,1,0.0316,0.767,0.0041,0.106,0.511,120.076,42,[],57,['[]'],low,Neutral
Ramya Behara,7Ft65MCYElRCDo7jOekQFs,"Nuvve Nuvve (From ""Red"")",0.648,0.885,4,-2.822,0,0.0445,0.258,1.02e-06,0.241,0.374,110.966,61,['tollywood'],41,"[""['tollywood']""]",low,Neutral
Sarath Santosh,4jf3Xq6DddYi95payh81IC,Dhak Dhak Dhak,0.932,0.484,7,-8.224,1,0.113,0.551,0.0161,0.132,0.642,97.02,40,['tollywood'],38,"[""['tollywood']""]",low,Neutral
Vijay Yesudas,71NQSYsR5ZESF5kw5c5GW6,Ningi Chutte - Telugu,0.568,0.39,9,-7.249,0,0.0489,0.732,0.0,0.0865,0.505,169.833,65,"['filmi', 'tamil pop']",30,"[""['filmi',"", ""'tamil"", ""pop']""]",low,Neutral
Shreya Ghoshal,1Yya8FmPkx1dOrUwVPjTA0,Kotthaga Kotthaga - Telugu,0.608,0.557,6,-6.7,0,0.0326,0.729,0.0523,0.108,0.242,77.932,81,"['desi pop', 'filmi', 'modern bollywood']",32,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Divya Kumar,7lnI0zUBAYGORfRVBnQB6k,Aswathama - Telugu,0.594,0.908,2,-6.473,1,0.0467,0.213,0.000349,0.109,0.602,127.989,63,"['desi pop', 'filmi', 'indian folk', 'modern bollywood']",7,"[""['desi"", ""pop',"", ""'filmi',"", ""'indian"", ""folk',"", ""'modern"", ""bollywood']""]",low,Neutral
Anurag Kulkarni,6OjiOJFa51sGCyBK9qOfFo,Singles Anthem - Telugu,0.896,0.582,1,-4.773,1,0.0933,0.707,0.0,0.0603,0.855,97.966,67,['tollywood'],47,"[""['tollywood']""]",low,Neutral
"Sagar, Suchitra",7IsCmld8aCYXj1NbSn9t2K,Jatha Kalise,0.78,0.653,0,-6.393,1,0.0429,0.262,7.26e-06,0.039,0.685,86.987,31,['classic tollywood'],47,"[""['classic"", ""tollywood']""]",low,Neutral
Udit Narayan,3E8mVTnCMmXJNq6Pbcfkp7,Emaindhi Eevela,0.799,0.525,7,-5.615,0,0.0276,0.178,1.94e-05,0.19,0.537,119.994,79,"['chutney', 'classic bollywood', 'desi pop', 'filmi']",59,"[""['chutney',"", ""'classic"", ""bollywood',"", ""'desi"", ""pop',"", ""'filmi']""]",low,Neutral
"S.P.Charan, Sujatha",6gZmBVAH2qEXqcTXVQBDcD,Chiguraku Chatu,0.764,0.648,8,-8.452,1,0.0654,0.195,0.000493,0.183,0.236,94.002,39,['classic tollywood'],55,"[""['classic"", ""tollywood']""]",low,Neutral
Badshah,0gzu5mm36VJH2Zqu8sQPTf,Genda Phool (feat. Payal Dev),0.955,0.538,1,-8.394,1,0.0734,0.132,0.00146,0.0704,0.837,116.977,76,"['desi hip hop', 'desi pop', 'desi trap', 'modern bollywood']",61,"[""['desi"", 'hip', ""hop',"", ""'desi"", ""pop',"", ""'desi"", ""trap',"", ""'modern"", ""bollywood']""]",low,Neutral
Arijit Singh,2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",0.427,0.396,11,-7.556,1,0.0366,0.736,0.0,0.11,0.306,70.368,89,"['desi pop', 'filmi', 'modern bollywood']",74,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Ved Sharma,25MPTnqXQB1H6OkwSYUXWx,"Malang (Title Track) [From ""Malang - Unleash The Madness""]",0.384,0.728,7,-6.503,0,0.0623,0.329,1.85e-05,0.329,0.311,156.396,49,['desi pop'],65,"[""['desi"", ""pop']""]",low,Neutral
Vishal-Shekhar,0WdbnNKO0Jt4BZACSDQh44,"Ghungroo (From ""War"")",0.695,0.727,6,-6.274,0,0.0323,0.0744,0.000175,0.533,0.864,118.034,78,"['desi pop', 'filmi', 'modern bollywood']",71,"[""['desi"", ""pop',"", ""'filmi',"", ""'modern"", ""bollywood']""]",low,Neutral
Jasmine Sandlas,7CY0CmCpSglfUKCBOOiRfw,Illegal Weapon 2.0,0.805,0.919,1,-1.294,1,0.0938,0.101,0.00343,0.0598,0.494,94.993,62,"['desi pop', 'punjabi pop']",60,"[""['desi"", ""pop',"", ""'punjabi"", ""pop']""]",high,Negative
Pritam,0MLZAgKQKHbPsJ12qHS860,Haan Main Galat,0.683,0.737,0,-5.66,1,0.0502,0.125,0.0105,0.103,0.919,117.996,88,"['filmi', 'indian instrumental', 'modern bollywood']",59,"[""['filmi',"", ""'indian"", ""instrumental',"", ""'modern"", ""bollywood']""]",medium,Positive
Badshah,6q9XTgfWilsnyiFofvYrIF,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",0.788,0.87,9,-5.217,1,0.177,0.123,1.43e-05,0.0692,0.884,109.974,76,"['desi hip hop', 'desi pop', 'desi trap', 'modern bollywood']",67,"[""['desi"", 'hip', ""hop',"", ""'desi"", ""pop',"", ""'desi"", ""trap',"", ""'modern"", ""bollywood']""]",low,Neutral
Akhil,3s3J70eRpRH2hcYq4mEXTJ,"Duniyaa (From ""Luka Chuppi"")",0.435,0.658,7,-5.949,0,0.0368,0.699,0.0,0.125,0.524,77.17,65,"['desi hip hop', 'desi pop', 'punjabi pop']",57,"[""['desi"", 'hip', ""hop',"", ""'desi"", ""pop',"", ""'punjabi"", ""pop']""]",low,Neutral
Pritam,6cUOiOY5qh2FpIQWIYAd2h,Mehrama,0.56,0.631,7,-9.032,1,0.0334,0.861,0.0133,0.0985,0.376,107.987,88,"['filmi', 'indian instrumental', 'modern bollywood']",72,"[""['filmi',"", ""'indian"", ""instrumental',"", ""'modern"", ""bollywood']""]",low,Neutral
