artist_name,track_uri,track_url,artist_uri,artist_url,track_name,album_uri,duration_ms_x,album_name,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms_y,time_signature,artist_pop,genres,track_pop,language
Siddharth Basrur,spotify:track:3CB6fb7g8DHYi2UawqGAqC,https://open.spotify.com/track/3CB6fb7g8DHYi2UawqGAqC,spotify:artist:6PtoffEX0RiktNdmCeuWkl,https://open.spotify.com/artist/6PtoffEX0RiktNdmCeuWkl,Bezubaan Kab Se,spotify:album:50FHINh9xisewZgfucGbVL,271278.0,Street Dancer 3D,Bezubaan Kab Se,0.747,0.865,7.0,-5.991,1.0,0.0451,0.00279,0.00058,0.0764,0.209,124.985,audio_features,3CB6fb7g8DHYi2UawqGAqC,spotify:track:3CB6fb7g8DHYi2UawqGAqC,https://api.spotify.com/v1/tracks/3CB6fb7g8DHYi2UawqGAqC,https://api.spotify.com/v1/audio-analysis/3CB6fb7g8DHYi2UawqGAqC,271279.0,4.0,56.0,['modern bollywood'],3464,hindi
Shankar Mahadevan,spotify:track:3S3z1LLxZLGtEk6XoWhcDE,https://open.spotify.com/track/3S3z1LLxZLGtEk6XoWhcDE,spotify:artist:1SJOL9HJ08YOn92lFcYf8a,https://open.spotify.com/artist/1SJOL9HJ08YOn92lFcYf8a,Hindustani,spotify:album:50FHINh9xisewZgfucGbVL,146063.0,Street Dancer 3D,Hindustani,0.629,0.957,8.0,-5.466,1.0,0.0591,0.0351,0.000375,0.273,0.652,147.958,audio_features,3S3z1LLxZLGtEk6XoWhcDE,spotify:track:3S3z1LLxZLGtEk6XoWhcDE,https://api.spotify.com/v1/tracks/3S3z1LLxZLGtEk6XoWhcDE,https://api.spotify.com/v1/audio-analysis/3S3z1LLxZLGtEk6XoWhcDE,146063.0,4.0,75.0,"['filmi', 'modern bollywood']",58679,hindi
Jasmine Sandlas,spotify:track:11IAzj9706fIKBVCJyMNNt,https://open.spotify.com/track/11IAzj9706fIKBVCJyMNNt,spotify:artist:0mJDQBWytBhOh5JB1DOQ1c,https://open.spotify.com/artist/0mJDQBWytBhOh5JB1DOQ1c,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")",spotify:album:7MyTUMZsWW136nNfMXCY3C,188606.0,Hits Of Tanishk Bagchi,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")",0.805,0.919,1.0,-1.294,1.0,0.0938,0.101,0.00343,0.0598,0.494,94.993,audio_features,11IAzj9706fIKBVCJyMNNt,spotify:track:11IAzj9706fIKBVCJyMNNt,https://api.spotify.com/v1/tracks/11IAzj9706fIKBVCJyMNNt,https://api.spotify.com/v1/audio-analysis/11IAzj9706fIKBVCJyMNNt,188606.0,4.0,62.0,"['desi pop', 'punjabi pop']",45634543,hindi
Garry Sandhu,spotify:track:7gBjvaMxE92ezPBMljMAcq,https://open.spotify.com/track/7gBjvaMxE92ezPBMljMAcq,spotify:artist:7M3xY5iHSzEtoL3FpqOD75,https://open.spotify.com/artist/7M3xY5iHSzEtoL3FpqOD75,Do Gallan - Let's Talk,spotify:album:1zzrMEb6dduwSacR62ukSp,251142.0,Do Gallan (Let's Talk),Do Gallan - Let's Talk,0.645,0.44,1.0,-7.908,1.0,0.036,0.872,0.0,0.0923,0.453,139.55,audio_features,7gBjvaMxE92ezPBMljMAcq,spotify:track:7gBjvaMxE92ezPBMljMAcq,https://api.spotify.com/v1/tracks/7gBjvaMxE92ezPBMljMAcq,https://api.spotify.com/v1/audio-analysis/7gBjvaMxE92ezPBMljMAcq,251143.0,4.0,65.0,"['desi pop', 'punjabi pop']",967865,hindi
Garry Sandhu,spotify:track:3sU6PMIp4BgwZyxnY3aSZL,https://open.spotify.com/track/3sU6PMIp4BgwZyxnY3aSZL,spotify:artist:7M3xY5iHSzEtoL3FpqOD75,https://open.spotify.com/artist/7M3xY5iHSzEtoL3FpqOD75,Good Luck,spotify:album:0VmTFWAoKsnkkkr8h3YDNl,213942.0,Good Luck,Good Luck,0.471,0.626,6.0,-3.432,0.0,0.25,0.615,4.78e-06,0.088,0.732,155.543,audio_features,3sU6PMIp4BgwZyxnY3aSZL,spotify:track:3sU6PMIp4BgwZyxnY3aSZL,https://api.spotify.com/v1/tracks/3sU6PMIp4BgwZyxnY3aSZL,https://api.spotify.com/v1/audio-analysis/3sU6PMIp4BgwZyxnY3aSZL,213942.0,4.0,65.0,"['desi pop', 'punjabi pop']",56867976,hindi
Garry Sandhu,spotify:track:2bCaaT2zKtLfaIrytRv6IO,https://open.spotify.com/track/2bCaaT2zKtLfaIrytRv6IO,spotify:artist:7M3xY5iHSzEtoL3FpqOD75,https://open.spotify.com/artist/7M3xY5iHSzEtoL3FpqOD75,Rabb Jane,spotify:album:6PTvvVf5FWbNK6EamWQSoF,207252.0,Rabb Jane,Rabb Jane,0.682,0.868,11.0,-5.147,0.0,0.0372,0.179,0.0,0.182,0.655,90.02,audio_features,2bCaaT2zKtLfaIrytRv6IO,spotify:track:2bCaaT2zKtLfaIrytRv6IO,https://api.spotify.com/v1/tracks/2bCaaT2zKtLfaIrytRv6IO,https://api.spotify.com/v1/audio-analysis/2bCaaT2zKtLfaIrytRv6IO,207252.0,4.0,65.0,"['desi pop', 'punjabi pop']",567967,hindi
Garry Sandhu,spotify:track:7Jo4yv6Iiwxla5z10lE1L9,https://open.spotify.com/track/7Jo4yv6Iiwxla5z10lE1L9,spotify:artist:7M3xY5iHSzEtoL3FpqOD75,https://open.spotify.com/artist/7M3xY5iHSzEtoL3FpqOD75,"Sip Sip 2.0 (From ""Street Dancer 3D"")",spotify:album:7LxuCBJJmX2d0Y2sugZj79,219970.0,"Sip Sip 2.0 (From ""Street Dancer 3D"")","Sip Sip 2.0 (From ""Street Dancer 3D"")",0.842,0.877,5.0,-2.134,0.0,0.177,0.114,0.000225,0.0824,0.506,93.991,audio_features,7Jo4yv6Iiwxla5z10lE1L9,spotify:track:7Jo4yv6Iiwxla5z10lE1L9,https://api.spotify.com/v1/tracks/7Jo4yv6Iiwxla5z10lE1L9,https://api.spotify.com/v1/audio-analysis/7Jo4yv6Iiwxla5z10lE1L9,219970.0,4.0,65.0,"['desi pop', 'punjabi pop']",797658,hindi
Garry Sandhu,spotify:track:0AKWRh7wMW7Pzz2xo7SXlV,https://open.spotify.com/track/0AKWRh7wMW7Pzz2xo7SXlV,spotify:artist:7M3xY5iHSzEtoL3FpqOD75,https://open.spotify.com/artist/7M3xY5iHSzEtoL3FpqOD75,Ishq,spotify:album:2eYD0f2Tp1n8GQbmDoVft3,221000.0,Ishq,Ishq,0.65,0.659,10.0,-6.39,0.0,0.171,0.236,0.0,0.0894,0.431,97.954,audio_features,0AKWRh7wMW7Pzz2xo7SXlV,spotify:track:0AKWRh7wMW7Pzz2xo7SXlV,https://api.spotify.com/v1/tracks/0AKWRh7wMW7Pzz2xo7SXlV,https://api.spotify.com/v1/audio-analysis/0AKWRh7wMW7Pzz2xo7SXlV,221000.0,4.0,65.0,"['desi pop', 'punjabi pop']",5645347,hindi
Ikky,spotify:track:4RSlfsILh7UZolz6iTa1W1,https://open.spotify.com/track/4RSlfsILh7UZolz6iTa1W1,spotify:artist:3nqS8jzqmsPKFJTp0BOIel,https://open.spotify.com/artist/3nqS8jzqmsPKFJTp0BOIel,80 90,spotify:album:3q9gQtbj7dZwaPMclyjOEk,194430.0,80 90,80 90,0.717,0.583,11.0,-7.049,0.0,0.285,0.0582,0.0,0.245,0.53,79.037,audio_features,4RSlfsILh7UZolz6iTa1W1,spotify:track:4RSlfsILh7UZolz6iTa1W1,https://api.spotify.com/v1/tracks/4RSlfsILh7UZolz6iTa1W1,https://api.spotify.com/v1/audio-analysis/4RSlfsILh7UZolz6iTa1W1,194430.0,4.0,72.0,['punjabi pop'],97675,hindi
Garry Sandhu,spotify:track:4XyKoSEWrkQjI4AekJYWNx,https://open.spotify.com/track/4XyKoSEWrkQjI4AekJYWNx,spotify:artist:7M3xY5iHSzEtoL3FpqOD75,https://open.spotify.com/artist/7M3xY5iHSzEtoL3FpqOD75,"Hauli Hauli (From ""De De Pyaar De"")",spotify:album:6e1XB070vlPaxGDAsi8AF6,209393.0,Dance Syndrome,"Hauli Hauli (From ""De De Pyaar De"")",0.705,0.982,1.0,-3.376,1.0,0.0788,0.0212,3.18e-05,0.337,0.571,94.99,audio_features,4XyKoSEWrkQjI4AekJYWNx,spotify:track:4XyKoSEWrkQjI4AekJYWNx,https://api.spotify.com/v1/tracks/4XyKoSEWrkQjI4AekJYWNx,https://api.spotify.com/v1/audio-analysis/4XyKoSEWrkQjI4AekJYWNx,209393.0,4.0,65.0,"['desi pop', 'punjabi pop']",5745325,hindi
